ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-26675464,142.0,Cc1cc(c(c(c1)C)OCC(=O)N[C@H]2CC[C@@H](CC2)CN)C,Cc1cc(C)c(OCC(=O)N[C@H]2CC[C@H](C)CC2)c(C)c1
EN300-26675513,813.0,Cn1nc(c(c1)C(=O)N[C@H]2C[C@](C2)(c3ccccc3)CN)C4CCCC4,Cn1cc(C(=O)N[C@H]2C[C@@](C)(c3ccccc3)C2)c(C2CCCC2)n1
EN300-7563881,503.0,C[C@@H](C(=O)Nc1ccc(cc1)CO)N,CCC(=O)Nc1ccc(CO)cc1
EN300-7564165,586.0,C1CC1C2CCC(C2)N,C1CCC(C2CC2)C1
EN300-7564354,1510.0,C1C2CC1C(C2)N,C1CC2CC1C2
EN300-155579,201.0,C1CC1C(CN)O,C[C@H](O)C1CC1
EN300-26675567,623.0,CC(C)(C)C[C@@H]1CN(C[C@H]1N)C(=O)c2c(c3ncccn3n2)Cl,CC(C)(C)C[C@H]1CCN(C(=O)c2nn3cccnc3c2Cl)C1
EN300-26675571,524.0,CC1(CC(=NO1)C(=O)N2CCCCC2C(Cc3ccccc3)CN)C,CC(Cc1ccccc1)C1CCCCN1C(=O)C1=NOC(C)(C)C1
EN300-26675582,666.0,Cc1c(oc(n1)C)C(=O)NC(CN)c2ccc3ccccc3c2,Cc1nc(C)c(C(=O)N[C@@H](C)c2ccc3ccccc3c2)o1
EN300-26675586,367.0,Cc1nc2c(s1)CCCC2C(=O)NCC3(CCCCCC3)N,Cc1nc2c(s1)CCC[C@H]2C(=O)NCC1CCCCCC1
EN300-26675616,347.0,c1cc(c2c(c1)non2)C(=O)NCc3ccc(cc3F)CN,Cc1ccc(CNC(=O)c2cccc3nonc23)c(F)c1
EN300-26675715,331.0,c1ccc(cc1)n2ncc(n2)C(=O)NCC3(CCCCCC3)N,O=C(NCC1CCCCCC1)c1cnn(-c2ccccc2)n1
