ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-1716962,1370.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC[C@H]4[C@@H](c5ccc(cc5)Br)C(=O)O,Brc1ccc(C[C@@H]2CCCN2)cc1
EN300-385559,1657.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@](C4)(Cc5cccc(c5)Br)C(=O)O,Brc1cccc(C[C@@H]2CCNC2)c1
EN300-755456,153.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC(CC4)(c5ccc(cc5)Br)C(=O)O,Brc1ccc(C2CCNCC2)cc1
EN300-321612,10001.0,c1ccc(cc1)N2CN(C(=O)C23CCN(CC3)C(=O)OCC4c5ccccc5-c6c4cccc6)CC(=O)O,CN1CN(c2ccccc2)C2(CCNCC2)C1=O
EN300-6474829,672.0,CC(C)(CC(=O)N(C)CCc1ccc(cc1)NC(=O)OCC2c3ccccc3-c4c2cccc4)CC(=O)O,CN(CCc1ccc(N)cc1)C(=O)CC(C)(C)C
EN300-39672558,735.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4CCCN(C4)c5c(cnc(n5)C(=O)O)Br,N[C@H]1CCCN(c2ncncc2Br)C1
EN300-249916,19.0,CC(C)(C)OC(=O)n1cc(c2c1cccc2)C[C@@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CC(C)(C)OC(=O)n1cc(CCN)c2ccccc21
EN300-95048,19.0,CC(C)(C)OC(=O)n1cc(c2c1cccc2)C[C@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CC(C)(C)OC(=O)n1cc(CCN)c2ccccc21
EN300-39926521,977.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)(CC(=O)O)n5ccc(n5)I,CC1(n2ccc(I)n2)CNC1
EN300-39872342,735.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)(CC(=O)O)n5cc(cn5)I,CC1(n2cc(I)cn2)CNC1
EN300-1705003,1521.0,Cn1cc(nc1C2(CC3(C2)CN(C3)C(=O)OCC4c5ccccc5-c6c4cccc6)OCC(=O)O)Br,COC1(c2nc(Br)cn2C)CC2(CNC2)C1
