ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-140371,353.0,CC(C)c1nc(cs1)Cn2cc(ccc2=O)C(=O)O,CC(C)c1nc(Cn2ccccc2=O)cs1
EN300-139440,255.0,COC1(CCCCC1)C(=O)O,COC1CCCCC1
EN300-139754,29.0,C[C@@H](C(=O)O)OCc1ccccc1,CCOCc1ccccc1
EN300-139445,103.0,CC(C)(C(=O)O)N1C(=O)c2ccccc2C1=O,CC(C)N1C(=O)c2ccccc2C1=O
EN300-141024,912.0,COc1ccc(c(c1Cl)OC)C(=O)O,COc1cccc(OC)c1Cl
EN300-142038,19.0,Cc1nc2ccccc2n1CCC(=O)O,CCn1c(C)nc2ccccc21
EN300-18555,19.0,CC(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)O,CC(=O)NCCc1c[nH]c2ccccc12
EN300-20995,19.0,Cc1cc(c(c(c1)C)C(=O)O)C,Cc1cc(C)cc(C)c1
EN300-17612,19.0,C1CSSC1CCCCC(=O)O,CCCC[C@H]1CCSS1
EN300-141235,466.0,c1cc2c(c(c1C(=O)O)O)nn[nH]2,Oc1cccc2[nH]nnc12
EN300-140665,159.0,c1cc(c(cc1Cl)Cl)c2nnc(o2)CCCC(=O)O,CCCc1nnc(-c2ccc(Cl)cc2Cl)o1
EN300-140578,481.0,C1CC(C1)CN2CCOCC2C(=O)O,C1CC(CN2CCOCC2)C1
EN300-141218,347.0,CCc1c(cnn1c2ccc(cc2)OC)C(=O)O,CCc1ccnn1-c1ccc(OC)cc1
EN300-141451,399.0,CS(=O)c1cccc(c1)C(=O)O,C[S@](=O)c1ccccc1
EN300-11141,22.0,c1c(cc(cc1C(F)(F)F)C(F)(F)F)/C=C/C(=O)O,C=Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1
EN300-10555,142.0,COCCNS(=O)(=O)c1ccc(c(c1)C(=O)O)Br,COCCNS(=O)(=O)c1ccc(Br)cc1
EN300-16582,19.0,CC(C)C(C(=O)O)NC(=O)C,CC(=O)NCC(C)C
EN300-147550,75.0,COc1cccc2c1ncc(c2O)C(=O)O,COc1cccc2c(O)ccnc12
EN300-142411,389.0,CCCCN(C)c1ccnc(c1)C(=O)O,CCCCN(C)c1ccncc1
EN300-142477,288.0,COC(=O)c1cc(cc(c1)O)C(=O)O,COC(=O)c1cccc(O)c1
EN300-151773,425.0,CSc1cccc(c1[N+](=O)[O-])C(=O)O,CSc1ccccc1[N+](=O)[O-]
EN300-147906,303.0,Cc1cc(nc(n1)C(F)(F)F)C(=O)O,Cc1ccnc(C(F)(F)F)n1
EN300-153959,389.0,c1c2c(nc(s2)N3CCCC3)sc1C(=O)O,c1cc2sc(N3CCCC3)nc2s1
EN300-12244,19.0,CCc1ccc(cc1)CCC(=O)O,CCc1ccc(CC)cc1
EN300-140559,383.0,CC(C(C(=O)O)NC(=O)Cc1cccc2c1cccc2)O,C[C@H](O)CNC(=O)Cc1cccc2ccccc12
EN300-141447,389.0,CN(C)C1(CCCC1)CC(=O)O,CN(C)C1(C)CCCC1
EN300-142105,572.0,C1CCC2(CCCC2C1)C(=O)O,C1CCC2CCCC2C1
